species	gene	citation	correctness	source	relevance	cited_title	review_notes
yeast	SSA2	file:yeast/SSA2/SSA2-hypotheses/existing-go-0005886-keep-as-non-core/openscientist.md	DISPUTED	review-only	MEDIUM	OpenScientist assessment of SSA2 plasma-membrane localization as non-core	The report supports KEEP_AS_NON_CORE and correctly emphasizes the weak, high-throughput fractionation evidence. However, its live QuickGO result claims that no IBA plasma-membrane annotation exists, whereas the repository's pinned SSA2 GOA contains both GO_REF:0000033 IBA and PMID:16622836 HDA rows for GO:0005886. Its use of the histatin paper is valid because that study directly assays S. cerevisiae SSA mutants. The incorrect live-database claim is not used to override either pinned row: the IBA decision is based on current PAINT node content, while the independent HDA is retained as non-core.
yeast	SSA3	file:yeast/SSA3/SSA3-hypotheses/existing-go-0005886-keep-as-non-core/openscientist.md	DISPUTED	review-only	HIGH	OpenScientist review of the SSA3 plasma-membrane IBA annotation	The report's conclusion that SSA3 lacks target-specific plasma-membrane evidence is useful, but its live QuickGO claims that the P09435 IBA was retired and that Ssa4 had no such annotation conflict with the pinned SSA3/SSA4 GOA snapshots. Those live-query claims are not used as evidence for removal.
yeast	SSA4	file:yeast/SSA4/SSA4-hypotheses/existing-go-0005886-keep-as-non-core/openscientist.md	DISPUTED	review-only	HIGH	OpenScientist hypothesis review of the SSA4 plasma-membrane IBA annotation	The report correctly found no target-specific plasma-membrane evidence and its live absence result is corroborated by the current local PAINT snapshot. It nevertheless mischaracterizes the pinned SSA4 GOA snapshot, which does contain the 2025 IBA, and speculates about donor origins; those claims are not used.
yeast	YAR1	file:yeast/YAR1/YAR1-hypotheses/function-hypothesis-go-0001228/openscientist.md	DISPUTED	review-only	HIGH	OpenScientist hypothesis review of YAR1 GO:0001228	OpenScientist report is used for provenance-focused hypothesis review and is consistent with the cached YAR1 experimental literature, but it incorrectly labels the PANTHER family as PTHR43828/SF10. Repo-cached PANTHER data support PTHR24198:SF165 with source node PTN000917496; use the report for the domain-architecture conclusion and PTN000917496 propagation issue, not for its family/subfamily identifiers.
BRUMA	cpi-2	GO_REF:0000118	LOW_QUALITY	GOA	LOW	TreeGrafter-generated GO annotations	Source of generic, phylogenetically propagated cytoplasm and vesicle localizations that are not specifically supported for this secreted protein.
PSEPK	moaA	file:PSEPK/moaA/moaA-deep-research-openscientist.md	LOW_QUALITY	review-only	HIGH	OpenScientist gene research for moaA	The conserved GTP cyclase reaction and division of labor with MoaC agree with reviewed target UniProt. The report explicitly acknowledges that its mechanistic and structural evidence comes from orthologs, but presents unsaved target residue/motif analysis, target homodimer and structural transfer, heterologous xanthine-oxidase production, and rate-defining or nonredundant physiological claims as Q88E69 evidence. Those target-specific claims are not propagated, particularly because two divergent KT2440 MoaA-family paralogs remain unresolved.
PSEPK	moaB-I	file:PSEPK/moaB-I/moaB-I-deep-research-openscientist.md	LOW_QUALITY	review-only	HIGH	OpenScientist gene research for moaB-I	The report correctly identifies the MoaB family and acknowledges the absence of a Q88L15 assay, but then overstates synteny and family homology as a robust MogA-equivalent catalytic assignment. That conclusion conflicts with the target UniProt no-adenylyltransferase statement and is not used here.
PSEPK	moaB-II	file:PSEPK/moaB-II/moaB-II-deep-research-openscientist.md	LOW_QUALITY	review-only	HIGH	OpenScientist gene research for moaB-II	The report appropriately preserves the absence of a Q88E67 assay and the unresolved physiological role, consistent with the target UniProt no-MPT-adenylyltransferase statement. Its exact proteome census, pairwise identity values, genomic-context interpretation, and structural predictions are unsaved provider analyses and are not propagated as target evidence.
PSEPK	moaD	file:PSEPK/moaD/moaD-deep-research-openscientist.md	LOW_QUALITY	review-only	HIGH	OpenScientist gene research for moaD	Conserved carrier chemistry and complex membership were cross-checked against the UniProt/PANTHER family assignment. The report overstates target-specific operon, uniqueness, non-redundancy, and downstream-client conclusions; no direct KT2440 biochemical assay was located, so those claims are not used as established evidence.
PSEPK	moaE	file:PSEPK/moaE/moaE-deep-research-openscientist.md	LOW_QUALITY	review-only	HIGH	OpenScientist gene research for moaE	The conserved MoaD-MoaE reaction was cross-checked against the target UniProt entry and ortholog evidence. The report's target-specific alignment, AlphaFold, operon, and downstream-client conclusions are not independently reproducible local evidence, and no direct KT2440 enzyme assay was found.
PSEPK	moeA	file:PSEPK/moeA/moeA-deep-research-openscientist.md	LOW_QUALITY	review-only	HIGH	OpenScientist gene research for moeA	The target MoeA reaction agrees with UniProt, but the report misassigns several KT2440 MoaD/MoaE/MoeB/MobA locus tags and overstates moaB-I as the missing active MPT adenylyltransferase. Those organism-specific claims were not used; no direct KT2440 assay was found.
PSEPK	moeB	file:PSEPK/moeB/moeB-deep-research-openscientist.md	LOW_QUALITY	review-only	HIGH	OpenScientist gene research for moeB	The conserved MoaD acyl-adenylation reaction agrees with target UniProt and does not establish the thiolester-forming chemistry required by GO:0008641. The report explicitly acknowledges that Q88PW3 lacks direct characterization, but presents unsaved target motif, zinc-site, global alignment, architecture, partner, and broad physiological analyses as decisive evidence. Those target-specific analyses are not propagated.
SCHPO	cmp7	PMID:16823372	LOW_QUALITY	GOA	LOW	ORFeome cloning and global analysis of protein localization in the fission yeast Schizosaccharomyces pombe.	Genome-wide overexpression GFP screen; gives a coarse cytoplasmic signal for cmp7 that does not reflect its specific functional NE / SPB-attachment site compartment characterized by later work.
SCHPO	rrg8	PMID:16823372	LOW_QUALITY	review-only	LOW	ORFeome cloning and global analysis of protein localization in the fission yeast Schizosaccharomyces pombe.	PubMed-verified (abstract-only). Genome-scale YFP-tagging screen; the cyto/nuclear call for rrg8 conflicts with orthology-based mitochondrial localization and is not curated as a component by PomBase. Treated as the basis of over-annotated electronic CC terms.
human	A2ML1	file:human/A2ML1/A2ML1-deep-research-affinage.md	LOW_QUALITY	review-only	MEDIUM	Affinage mechanistic annotation for A2ML1 (human)	Trust gate TRIPPED - affinage's own head-to-head self-evaluation scored this record pairwise = loss against the curated UniProt reference (recorded in the record's own self_evaluation_pairwise frontmatter field), so it was treated with extra scepticism and every claim used was re-verified against the cited PMIDs and UniProt. The narrative did hold up on the core biology and it usefully reports both sides of the contested Noonan-syndrome association. Marked LOW_QUALITY rather than VERIFIED because it gives no account of the bait-region/thioester mechanism that defines this family, and its GO grounding (GO:0098772 molecular function regulator activity) is far coarser than the evidence supports; that grounding was deliberately not imported.
human	A3GALT2	PMID:32915357	LOW_QUALITY	review-only	LOW	APOL1 polymorphism modulates sphingolipid profile of human podocytes.	A3GALT2 is incidental to an APOL1/podocyte study. The negative expression result is data-not-shown from one immortalized podocyte model and cannot support organism-wide non-expression.
human	ABHD14A	file:human/ABHD14A/ABHD14A-deep-research-affinage.md	LOW_QUALITY	review-only	LOW	Affinage mechanistic annotation for ABHD14A (human)	Machine-fetched Affinage record. Gates passed, but it must not be used as it stands, for a reason worth recording for the whole campaign: its two most substantive claims - that a truncated ABHD14A hydrolyses short-chain esters with CoA enhancement, and that the full-length protein localises to the Golgi - both cite 'PMID:bio_10.1101_2025.11.28.691245', which is not a PubMed identifier at all but a bioRxiv DOI encoded in a PMID-shaped field. The provider's citation slot can therefore contain non-PMID identifiers formatted to look like PMIDs, and a reader skimming for PMIDs would take preprint claims for peer-reviewed ones. Those claims are excluded here; if the preprint is published they would justify a hydrolase molecular function and a Golgi location, neither of which is annotated now.
human	ABHD8	file:human/ABHD8/ABHD8-deep-research-affinage.md	LOW_QUALITY	review-only	MEDIUM	Affinage mechanistic annotation for ABHD8 (human)	Affinage record whose own self_evaluation_pairwise scored 'tie', not 'win', against curated UniProt, tripping the tool's trust gate, so it is used here only for the one thing a corpus-level synthesis is good evidence for: the negative that no catalytic activity or substrate has been characterised. Every mechanistic claim in this review is cited to PMID:39225180 or to the UniProt record instead, deliberately - not to this narrative.
human	ABI3BP	PMID:40092729	LOW_QUALITY	review-only	MEDIUM	ABI3BP can inhibit the proliferation, invasion, and epithelial-mesenchymal transition of non-small-cell lung cancer cells.	Cached title matches and full text is available; human cells, and the direction of effect agrees with PMID:18559958 in thyroid and PMID:31174563 in gallbladder. Marked LOW_QUALITY rather than VERIFIED because it is a small single-laboratory overexpression study in a low-impact venue with no in vivo arm and no receptor-level mechanism; it is used as corroboration of a pattern, not as primary evidence for any annotation.
human	ABR	PMID:19946888	LOW_QUALITY	GOA	LOW	Defining the membrane proteome of NK cells.	Crude NK-cell membrane-fraction proteomics. Its own abstract reports only ~40% of hits as plausible membrane proteins, which is the basis for marking the GO:0016020 row over-annotated. Cited for the caveat, not for the localisation.
human	ABRA	GO_REF:0000054	LOW_QUALITY	GOA	LOW	Gene Ontology annotation based on curation of intracellular localizations of expressed fusion proteins in living cells	The LIFEdb GFP-fusion survey, and the sole source of the plasma-membrane call. Its own title states the method: localisation of expressed fusion proteins. For a muscle-restricted protein assayed in a non-muscle line at non-native levels this is a weak basis for a located_in annotation, and it is recorded as IDA, which reads as far stronger than it is.
human	ACAA1	PMID:19946888	LOW_QUALITY	GOA	LOW	Defining the membrane proteome of NK cells.	Abstract-only in cache; high-throughput membrane-proteomics co-detection producing a spurious membrane localization for a soluble matrix enzyme.
