AC	Gene name	PTHR 	Family name	Notes	Action annotation reviewer	GO term added 	PAINT 	Pascale/Li/Marc comments	Lost in Panther 19
Q9NRD0	FBXO8	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
Q9NYI0	PSD3	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
Q9UPP2	IQSEC3	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
Q5JU85	IQSEC2	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
O43739	CYTH3	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
Q6DN90	IQSEC1	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
A5PKW4	PSD	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
Q8NDX1	PSD4	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
Q5TH69	ARFGEF3	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
Q15438	CYTH1	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
Q92538	GBF1	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
Q99418	CYTH2	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
Q9UIA0	CYTH4	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
Q9BQI7	PSD2	PTHR10663	guanyl-nucleotide exchange factor pthr10663		Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
Q9Y6D6	ARFGEF1	PTHR10663	guanyl-nucleotide exchange factor pthr10663	 guanyl-nucleotide exchange factor activity. IDA	Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
Q9Y6D5	ARFGEF2	PTHR10663	guanyl-nucleotide exchange factor pthr10663	 guanyl-nucleotide exchange factor activity. IDA	Already had a valid annotation		DONE	Added MF. Need to add BP. MAF: added Cc and BP when possible	#N/A
Q8N2H3	PYROXD2	PTHR10668	phytoene dehydrogenase pthr10668						#N/A
P55344	LIM2	PTHR10671	epithelial membrane protein-related pthr10671						#N/A
Q2KHT4	GSG1	PTHR10671	epithelial membrane protein-related pthr10671						#N/A
Q16617	NKG7	PTHR10671	epithelial membrane protein-related pthr10671						#N/A
Q6UXU4	GSG1L	PTHR10671	epithelial membrane protein-related pthr10671						#N/A
Q8NHS1	CLDND2	PTHR10671	epithelial membrane protein-related pthr10671						#N/A
P54852	EMP3	PTHR10671	epithelial membrane protein-related pthr10671						#N/A
P54849	EMP1	PTHR10671	epithelial membrane protein-related pthr10671						#N/A
A6NGA9	TMEM202	PTHR10671	epithelial membrane protein-related pthr10671						#N/A
Q01453	PMP22	PTHR10671	epithelial membrane protein-related pthr10671						#N/A
A8MUP6	GSG1L2	PTHR10671	epithelial membrane protein-related pthr10671						#N/A
P61201	COPS2	PTHR10678	26s proteasome non-atpase regulatory subunit 11/cop9 signalosome complex subunit 2 pthr10678						#N/A
O15126	SCAMP1	PTHR10687	secretory carrier-associated membrane protein  scamp pthr10687		Only binding annotation		No relevant data		#N/A
O14828	SCAMP3	PTHR10687	secretory carrier-associated membrane protein  scamp pthr10687		Only binding annotation		No relevant data		#N/A
Q8TAC9	SCAMP5	PTHR10687	secretory carrier-associated membrane protein  scamp pthr10687		Only binding annotation		No relevant data		#N/A
O15127	SCAMP2	PTHR10687	secretory carrier-associated membrane protein  scamp pthr10687		Only binding annotation		No relevant data		#N/A
Q969E2	SCAMP4	PTHR10687	secretory carrier-associated membrane protein  scamp pthr10687		Only binding annotation		No relevant data		#N/A
Q9NVH6	TMLHE	PTHR10696	gamma-butyrobetaine hydroxylase-related pthr10696						#N/A
Q9UM22	EPDR1	PTHR10697	mammalian ependymin-related protein 1 pthr10697						#N/A
Q9UI12	ATP6V1H	PTHR10698	v-type proton atpase subunit h pthr10698		No data found				#N/A
Q9BRA0	NAA38	PTHR10701	small nuclear ribonucleoprotein-associated protein b and n pthr10701						#N/A
P61803	DAD1	PTHR10705	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit dad1 pthr10705						#N/A
Q5XUX0	FBXO31	PTHR10706	f-box family protein pthr10706						#N/A
Q8N4B4	FBXO39	PTHR10706	f-box family protein pthr10706						#N/A
Q96KJ9	COX4I2	PTHR10707	cytochrome c oxidase subunit iv pthr10707	cytochrome-c oxidase activity IDA	Already had a valid annotation		DONE		#N/A
P13073	COX4I1	PTHR10707	cytochrome c oxidase subunit iv pthr10707		Already had a valid annotation		DONE		#N/A
O15143	ARPC1B	PTHR10709	actin-related protein 2/3 complex subunit 1 pthr10709						#N/A
P08708	RPS17	PTHR10732	40s ribosomal protein s17 pthr10732	structural constituent of ribosome. IDA	Already had a valid annotation		DONE		#N/A
O76090	BEST1	PTHR10736	bestrophin pthr10736	bicarbonate channel activity; ligand-gated channel activity	Already had a valid annotation		DONE		#N/A
Q8NFU1	BEST2	PTHR10736	bestrophin pthr10736		Already had a valid annotation		DONE		#N/A
Q8NFU0	BEST4	PTHR10736	bestrophin pthr10736		Already had a valid annotation		DONE		#N/A
Q8N1M1	BEST3	PTHR10736	bestrophin pthr10736		Already had a valid annotation		DONE		#N/A
O15258	RER1	PTHR10743	protein rer1 pthr10743						#N/A
Q9UHN1	POLG2	PTHR10745	glycyl-trna synthetase/dna polymerase subunit gamma-2 pthr10745	DNA polymerase processivity factor activity	Already had a valid annotation		DONE		#N/A
P46020	PHKA1	PTHR10749	phosphorylase b kinase regulatory subunit pthr10749		No data found				#N/A
P46019	PHKA2	PTHR10749	phosphorylase b kinase regulatory subunit pthr10749		No data found				#N/A
Q93100	PHKB	PTHR10749	phosphorylase b kinase regulatory subunit pthr10749		No data found				#N/A
Q9UNS2	COPS3	PTHR10758	26s proteasome non-atpase regulatory subunit 3/cop9 signalosome complex subunit 3 pthr10758						#N/A
O43242	PSMD3	PTHR10758	26s proteasome non-atpase regulatory subunit 3/cop9 signalosome complex subunit 3 pthr10758						#N/A
Q5JU69	TOR2A	PTHR10760	torsin pthr10760						#N/A
Q9NXH8	TOR4A	PTHR10760	torsin pthr10760						#N/A
Q9H497	TOR3A	PTHR10760	torsin pthr10760						#N/A
Q9BZG8	DPH1	PTHR10762	diphthamide biosynthesis protein pthr10762						#N/A
Q9BQC3	DPH2	PTHR10762	diphthamide biosynthesis protein pthr10762						#N/A
O15321	TM9SF1	PTHR10766	transmembrane 9 superfamily protein pthr10766		No data found		No relevant data		#N/A
Q9HD45	TM9SF3	PTHR10766	transmembrane 9 superfamily protein pthr10766		No data found		No relevant data		#N/A
Q99805	TM9SF2	PTHR10766	transmembrane 9 superfamily protein pthr10766		No data found		No relevant data		#N/A
Q92544	TM9SF4	PTHR10766	transmembrane 9 superfamily protein pthr10766		No data found		No relevant data		#N/A
Q9NZJ7	MTCH1	PTHR10780	mitochondrial carrier homolog pthr10780						#N/A
Q9Y6C9	MTCH2	PTHR10780	mitochondrial carrier homolog pthr10780						#N/A
Q9UHA3	RSL24D1	PTHR10792	60s ribosomal protein l24 pthr10792						#N/A
Q3KNS1	PTCHD3	PTHR10796	patched-related pthr10796						#N/A
Q96NR3	PTCHD1	PTHR10796	patched-related pthr10796						#N/A
Q6ZW05	PTCHD4	PTHR10796	patched-related pthr10796						#N/A
P11686	SFTPC	PTHR10800	pulmonary surfactant-associated protein c pthr10800						#N/A
Q9UQ80	PA2G4	PTHR10804	protease family m24  methionyl aminopeptidase, aminopeptidase p pthr10804						#N/A
O14579	COPE	PTHR10805	coatomer subunit epsilon pthr10805						#N/A
A4FU01	MTMR11	PTHR10807	myotubularin-related pthr10807						#N/A
Q9NXD2	MTMR10	PTHR10807	myotubularin-related pthr10807						#N/A
Q9C0I1	MTMR12	PTHR10807	myotubularin-related pthr10807						#N/A
Q96BW5	PTER	PTHR10819	phosphotriesterase-related pthr10819						#N/A
P78333	GPC5	PTHR10822	glypican pthr10822		No data found				#N/A
Q9Y625	GPC6	PTHR10822	glypican pthr10822	fly has Wnt-protein binding IPI	Only binding annotation				#N/A
O75487	GPC4	PTHR10822	glypican pthr10822	fly has Wnt-protein binding IPI	Only binding annotation				#N/A
Q8N158	GPC2	PTHR10822	glypican pthr10822	fly has Wnt-protein binding IPI	Only binding annotation				#N/A
P51654	GPC3	PTHR10822	glypican pthr10822	peptidyl-dipeptidase inhibitor activity	skip				#N/A
P39656	DDOST	PTHR10830	dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kda subunit pthr10830						#N/A
O43759	SYNGR1	PTHR10838	synaptogyrin pthr10838						#N/A
O43761	SYNGR3	PTHR10838	synaptogyrin pthr10838						#N/A
O43760	SYNGR2	PTHR10838	synaptogyrin pthr10838						#N/A
O95473	SYNGR4	PTHR10838	synaptogyrin pthr10838						#N/A
O14737	PDCD5	PTHR10840	programmed cell death protein 5 pthr10840						#N/A
P17600	SYN1	PTHR10841	synapsin pthr10841						#N/A
Q92777	SYN2	PTHR10841	synapsin pthr10841						#N/A
O14994	SYN3	PTHR10841	synapsin pthr10841						#N/A
O76081	RGS20	PTHR10845	regulator of g protein signaling pthr10845		Already had a valid annotation		DONE	Last touched in 2018. Not sure why annotations were gone.	#N/A
O15492	RGS16	PTHR10845	regulator of g protein signaling pthr10845		Already had a valid annotation		DONE	Last touched in 2018. Not sure why annotations were gone.	#N/A
P49798	RGS4	PTHR10845	regulator of g protein signaling pthr10845		Already had a valid annotation		DONE	Last touched in 2018. Not sure why annotations were gone.	#N/A
P49795	RGS19	PTHR10845	regulator of g protein signaling pthr10845		Already had a valid annotation		DONE	Last touched in 2018. Not sure why annotations were gone.	#N/A
P41220	RGS2	PTHR10845	regulator of g protein signaling pthr10845		Already had a valid annotation		DONE	Last touched in 2018. Not sure why annotations were gone.	#N/A
O15539	RGS5	PTHR10845	regulator of g protein signaling pthr10845		Already had a valid annotation		DONE	Last touched in 2018. Not sure why annotations were gone.	#N/A
P57771	RGS8	PTHR10845	regulator of g protein signaling pthr10845		Already had a valid annotation		DONE	Last touched in 2018. Not sure why annotations were gone.	#N/A
Q9NS28	RGS18	PTHR10845	regulator of g protein signaling pthr10845	mouse GTPase activator activity	Already had a valid annotation		DONE	Last touched in 2018. Not sure why annotations were gone.	#N/A
Q08116	RGS1	PTHR10845	regulator of g protein signaling pthr10845	GTPase activator activity IDA	Already had a valid annotation		DONE	Last touched in 2018. Not sure why annotations were gone.	#N/A
Q2M5E4	RGS21	PTHR10845	regulator of g protein signaling pthr10845		Already had a valid annotation		DONE	Last touched in 2018. Not sure why annotations were gone.	#N/A
O14921	RGS13	PTHR10845	regulator of g protein signaling pthr10845	worm GTPase activator activity IDA	Already had a valid annotation		DONE	Last touched in 2018. Not sure why annotations were gone.	#N/A
Q9UGC6	RGS17	PTHR10845	regulator of g protein signaling pthr10845	fly GTPase activator activity	Already had a valid annotation		DONE	Last touched in 2018. Not sure why annotations were gone.	#N/A
Q9BRX2	PELO	PTHR10853	pelota pthr10853						#N/A
O00232	PSMD12	PTHR10855	26s proteasome non-atpase regulatory subunit 12/cop9 signalosome complex subunit 4 pthr10855						#N/A
Q9BT78	COPS4	PTHR10855	26s proteasome non-atpase regulatory subunit 12/cop9 signalosome complex subunit 4 pthr10855						#N/A
P57737	CORO7	PTHR10856	coronin pthr10856		IGNORE - Lost in Panther19		Will be done by Marc		PTHR10856
Q9Y673	ALG5	PTHR10859	glycosyl transferase pthr10859	yeast and human dolichyl-phosphate beta-glucosyltransferase activity. IDA	Already had a valid annotation		DONE		#N/A
Q99720	SIGMAR1	PTHR10868	sigma 1-type opioid receptor-related pthr10868						#N/A
O60671	RAD1	PTHR10870	cell cycle checkpoint protein rad1 pthr10870						#N/A
P62269	RPS18	PTHR10871	30s ribosomal protein s13/40s ribosomal protein s18 pthr10871	structural constituent of ribosome. IDA	Already had a valid annotation		DONE		#N/A
Q155Q3	DIXDC1	PTHR10878	segment polarity protein dishevelled pthr10878						#N/A
Q15014	MORF4L2	PTHR10880	mortality factor 4-like protein pthr10880						#N/A
P0C860	MSL3B	PTHR10880	mortality factor 4-like protein pthr10880						#N/A
Q9UBU8	MORF4L1	PTHR10880	mortality factor 4-like protein pthr10880						#N/A
Q8N5Y2	MSL3	PTHR10880	mortality factor 4-like protein pthr10880						#N/A
A6NC78	GOLGA8IP	PTHR10881	golgin subfamily a member-related pthr10881		No data found				#N/A
H3BPF8	GOLGA8S	PTHR10881	golgin subfamily a member-related pthr10881		No data found				#N/A
A6NN73	GOLGA8CP	PTHR10881	golgin subfamily a member-related pthr10881		No data found				#N/A
H3BV12	GOLGA8Q	PTHR10881	golgin subfamily a member-related pthr10881		No data found				#N/A
Q0D2H9	GOLGA8DP	PTHR10881	golgin subfamily a member-related pthr10881		No data found				#N/A
Q08AF8	GOLGA8G	PTHR10881	golgin subfamily a member-related pthr10881		No data found				#N/A
H3BQL2	GOLGA8T	PTHR10881	golgin subfamily a member-related pthr10881		No data found				#N/A
A6NDK9	GOLGA6C	PTHR10881	golgin subfamily a member-related pthr10881	fly small GTPase binding IPI	Only binding annotation				#N/A
A6NCC3	GOLGA8O	PTHR10881	golgin subfamily a member-related pthr10881	fly small GTPase binding IPI	Only binding annotation				#N/A
F8WBI6	GOLGA8N	PTHR10881	golgin subfamily a member-related pthr10881	fly small GTPase binding IPI	Only binding annotation				#N/A
Q9NYA3	GOLGA6A	PTHR10881	golgin subfamily a member-related pthr10881	fly small GTPase binding IPI	Only binding annotation				#N/A
A6NMD2	GOLGA8J	PTHR10881	golgin subfamily a member-related pthr10881	fly small GTPase binding IPI	Only binding annotation				#N/A
I6L899	GOLGA8R	PTHR10881	golgin subfamily a member-related pthr10881	fly small GTPase binding IPI	Only binding annotation				#N/A
A8MQT2	GOLGA8B	PTHR10881	golgin subfamily a member-related pthr10881	fly small GTPase binding IPI	Only binding annotation				#N/A
H3BSY2	GOLGA8M	PTHR10881	golgin subfamily a member-related pthr10881	fly small GTPase binding IPI	Only binding annotation				#N/A
P0CJ92	GOLGA8H	PTHR10881	golgin subfamily a member-related pthr10881	fly small GTPase binding IPI	Only binding annotation				#N/A
Q08379	GOLGA2	PTHR10881	golgin subfamily a member-related pthr10881		Only binding annotation				#N/A
A7E2F4	GOLGA8A	PTHR10881	golgin subfamily a member-related pthr10881	fly small GTPase binding IPI	Only binding annotation				#N/A
A6NDN3	GOLGA6B	PTHR10881	golgin subfamily a member-related pthr10881	fly small GTPase binding IPI	Only binding annotation				#N/A
P0CG33	GOLGA6D	PTHR10881	golgin subfamily a member-related pthr10881	fly small GTPase binding IPI	Only binding annotation				#N/A
D6RF30	GOLGA8K	PTHR10881	golgin subfamily a member-related pthr10881	fly small GTPase binding IPI	Only binding annotation				#N/A
Q9H2P9	DPH5	PTHR10882	diphthine synthase pthr10882						#N/A
O75489	NDUFS3	PTHR10884	nadh dehydrogenase  ubiquinone  iron-sulfur protein 3 pthr10884						#N/A
Q9NUV9	GIMAP4	PTHR10903	gtpase, imap family member-related pthr10903		Already had a valid annotation		DONE		#N/A
P0DJR0	GIMD1	PTHR10903	gtpase, imap family member-related pthr10903		Already had a valid annotation		DONE		#N/A
Q6P9H5	GIMAP6	PTHR10903	gtpase, imap family member-related pthr10903		Already had a valid annotation		DONE		#N/A
Q9UG22	GIMAP2	PTHR10903	gtpase, imap family member-related pthr10903		Already had a valid annotation		DONE		#N/A
Q8NHV1	GIMAP7	PTHR10903	gtpase, imap family member-related pthr10903	GTPase activity IDA	Already had a valid annotation		DONE		#N/A
Q96F15	GIMAP5	PTHR10903	gtpase, imap family member-related pthr10903		Already had a valid annotation		DONE		#N/A
Q8ND71	GIMAP8	PTHR10903	gtpase, imap family member-related pthr10903		Already had a valid annotation		DONE		#N/A
Q8WWP7	GIMAP1	PTHR10903	gtpase, imap family member-related pthr10903		Already had a valid annotation		DONE		#N/A
Q9UIK5	TMEFF2	PTHR10913	follistatin-related pthr10913						#N/A
Q8N475	FSTL5	PTHR10913	follistatin-related pthr10913						#N/A
Q6MZW2	FSTL4	PTHR10913	follistatin-related pthr10913						#N/A
Q12841	FSTL1	PTHR10913	follistatin-related pthr10913						#N/A
P18827	SDC1	PTHR10915	syndecan pthr10915	mouse cargo receptor activity IDA	Data not relevant for PAINT		Evidence too weak	PAINT: signaling receptor activity for pthr10915?	#N/A
P31431	SDC4	PTHR10915	syndecan pthr10915	rat thrombospondin receptor activity	Data not relevant for PAINT		Evidence too weak		#N/A
P34741	SDC2	PTHR10915	syndecan pthr10915		No data found		Evidence too weak		#N/A
O75056	SDC3	PTHR10915	syndecan pthr10915		No data found		Evidence too weak		#N/A
Q96SL1	SLC49A4	PTHR10924	major facilitator superfamily protein-related pthr10924						#N/A
Q6UXD7	SLC49A3	PTHR10924	major facilitator superfamily protein-related pthr10924						#N/A
Q3MIR4	TMEM30B	PTHR10926	cell cycle control protein 50 pthr10926	aminophospholipid flippase activity IDA	Already had a valid annotation		DONE		#N/A
Q9NV96	TMEM30A	PTHR10926	cell cycle control protein 50 pthr10926	aminophospholipid flippase activity IDA	Already had a valid annotation		DONE		#N/A
